Party,Votes,Votes %,Votes +-,Seats,Seats +-
People's Party for Freedom and Democracy,2238351,21.3,−5.3,33,−8
Party for Freedom,1372941,13.1,3,20,5
Christian Democratic Appeal,1301796,12.4,3.9,19,6
Democrats 66,1285819,12.2,4.2,19,7
GroenLinks,959600,9.1,6.8,14,10
Socialist Party,955633,9.1,−0.6,14,−1
Labour Party,599699,5.7,−19.1,9,−29
Christian Union,356271,3.4,0.3,5,0
Party for the Animals,335214,3.2,1.3,5,3
50PLUS,327131,3.1,1.2,4,2
Reformed Political Party,218950,2.1,0,3,0
Denk,216147,2.1,New,3,3
Forum for Democracy,187162,1.8,New,2,2
